No|Fakultas|Jurusan|Kode|ID|Matakuliah|Aksi
145|Fakultas Teknologi Industri (FTI)|Teknik Industri|PTK-B|755|TI091320|setting
146|Fakultas Teknologi Industri (FTI)|Teknik Industri|PTK|756|Pemeliharaan dan Teknik Keandalan|setting
147|Fakultas Ilmu Alam (FIA)|Kimia|MP|793|SK091321 Metode Pengukuran|setting
148|Fakultas Teknologi Industri (FTI)|Teknik Fisika|PENGENDALIAN BISING DI INDUSTRI|797|TF 141425 PENGENDALIAN BISING DI INDUSTRI|setting
149|Fakultas Teknologi Industri (FTI)|Teknik Industri|PTSI|803|Pengantar Teknik & Sistem Industri|setting
150|Fakultas Teknologi Industri (FTI)|Teknik Industri|OTI|804|Otomasi Industri|setting
151|Fakultas Teknologi Industri (FTI)|Teknik Industri|Gartek|805|Menggambar Teknik|setting
152|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|35100RG1413022014_|806|RG141302 - Kartografi|setting
153|Fakultas Ilmu Alam (FIA)|Biologi|Fisiologi Tumbuhan|808|SB-1315 Fisiologi Tumbuhan|setting
154|Fakultas Teknologi Industri (FTI)|Teknik Industri|Ekotek-Q|811|Engineering Economics (Ekonomi Teknik) - Q|setting
155|Fakultas Teknologi Industri (FTI)|Teknik Industri|PF - B|812|Perancangan Fasilitas - B|setting
156|Fakultas Ilmu Alam (FIA)|Biologi|Biostatistika|813|SB-1203 Biostatistika|setting
157|Fakultas Teknologi Industri (FTI)|Teknik Kimia|OTK2-B|825|OTK2-B|setting
158|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Geodesi Fisik - IMA|826|RG141333 - Geodesi Fisik - IMA|setting
159|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Sistem Koordinat dan Transformasi|827|RG141327 - Sistem Koordinat dan Transformasi (Kelas A)|setting
160|Fakultas Teknologi Industri (FTI)|Teknik Fisika|FISIKA BANGUNAN|833|TF 141363 FISIKA BANGUNAN|setting
161|Fakultas Ilmu Alam (FIA)|Kimia|KMS2|836|Kimia Membran (S2)|setting
162|Fakultas Teknologi Industri (FTI)|Teknik Kimia|Matekim 1|842|Matematika Teknik Kimia 1C|setting
163|Fakultas Teknologi Industri (FTI)|Teknik Kimia|TRK 1|843|Teknik Reaksi Kimia 1|setting
164|Fakultas Teknologi Industri (FTI)|Teknik Kimia|OTK2-A|854|OTK2-A|setting
165|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Proyeksi Peta - MYA|856|RG141321 - Proyeksi Peta - MYA|setting
166|Fakultas Ilmu Alam (FIA)|Kimia|MPI|857|SK091322 Metode Pengukuran dengan Instrumen|setting
167|Fakultas Teknologi Industri (FTI)|Teknik Fisika|TESIS|912|TESIS|setting
168|Fakultas Teknologi Industri (FTI)|Teknik Fisika|STATISTICAL PROCESS CONTROL|914|STATISTICAL PROCESS CONTROL|setting
169|UPT Penyelenggara Mata Kuliah Sosial Humaniora|S1|BIng|916|Bahasa Inggris|setting
170|Fakultas Teknologi Industri (FTI)|Teknik Material dan Metalurgi|KM|917|karakterisasi material|setting
171|Fakultas Ilmu Alam (FIA)|Fisika|FSIP|918|Instrumentasi dan Pengukuran|setting
172|Fakultas Teknologi Industri (FTI)|Teknik Fisika|DINAMIKA SISTEM|919|TF DINAMIKA SISTEM (BU AULIA S.A)|setting
173|Fakultas Teknologi Industri (FTI)|Teknik Fisika|FISREK I|920|TF141212 FISIKA REKAYASA I|setting
174|Fakultas Teknologi Industri (FTI)|Teknik Fisika|MATEMATIKA REKAYASA I BU AULIA|921|TF 141231 MATEMATIKA REKAYASA I|setting
175|Fakultas Teknologi Industri (FTI)|Teknik Fisika|KEANDALAN DAN KUALITAS PROSES BU AULIA|922|KEANDALAN DAN KUALITAS PROSES BU AULIA|setting
176|Fakultas Teknologi Industri (FTI)|Teknik Fisika|STATISTIK DAN STOKASTIK BU AULA|923|TF 141232 STATISTIK DAN STOKASTIK|setting
177|Fakultas Teknologi Industri (FTI)|Teknik Kimia|TK-092212|930|Pemrosesan Keramik|setting
178|Fakultas Teknologi Industri (FTI)|Teknik Kimia|KF|949|Kimia Fisika - TK141334 - 4 SKS (2/1/1)|setting
179|Sistem Pembelajaran Daring (SPADA) Indonesia|2014-2015 Gasal|KDITT ITS|950|Workshop KDITT ITS 2013|setting
180|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52200KS1423062014_|989|KS142306 - Strategi dan Kebijakan SI/TI|setting
181|Fakultas Ilmu Alam (FIA)|Kimia|SK091323b_1|996|SK091323 Metode Pemisahan dan Pemurnian - Dra. Ita Ulfin, M.Si copy 1|setting
182|UPT Penyelenggara Mata Kuliah Sosial Humaniora|S1|Bahasa Inggris Kelas 10|1012|TPB-Bahasa Inggris Kelas 10|setting
183|UPT Penyelenggara Mata Kuliah Sosial Humaniora|S1|Bahasa Inggris Kelas 2|1013|TPB-Bahasa Inggris Kelas 2|setting
184|Sistem Pembelajaran Daring (SPADA) Indonesia|none|TK141223_KA|1016|Kimia Analisa|setting
185|Fakultas Teknologi Industri (FTI)|Teknik Fisika|24100TF1413212014C|1017|TF141321 PEMROGRAMAN KOMPUTER C|setting
186|UPT Penyelenggara Mata Kuliah Sosial Humaniora|S1|BI22|1018|TPB Bahasa Inggris Kelas 22|setting
187|UPT Penyelenggara Mata Kuliah Sosial Humaniora|S1|BI29|1019|TPB Bahasa Inggris Kelas 29|setting
188|Fakultas Ilmu Alam (FIA)|Kimia|SKSO|1027|Sintesis dan Karakterisasi Senyawa Organik (S2 Pengajaran Kimia)|setting
189|Fakultas Ilmu Alam (FIA)|Kimia|PKBI|1028|Pembelajaran Kimia Berstandar Internasional (S2 Pengajaran Kimia)|setting
190|Fakultas Ilmu Alam (FIA)|Kimia|KOI|1029|Kimia Organik I|setting
191|Fakultas Ilmu Alam (FIA)|Kimia|MR(S3-Kimia)|1033|Metodologi Riset (S3)|setting
192|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Hitung Perataan - IMA|1051|RG141320 - Hitung Perataan - IMA & UWD|setting
193|UPMB|TPB - Fisika Dasar|FisdasII|1067|FISIKA DASAR II (Kelas TPB04 dan TPB16)|setting
194|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Geodinamika dan Deformasi|1070|RG141462 - Geodinamika dan Deformasi|setting
195|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Geodesi Satelit - IMA|1071|RG141319 - Geodesi Satelit - IMA & MYA|setting
196|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Oseanografi Fisik - LMJ|1072|RG141322 - Oseanografi Fisik - LMJ|setting
197|Sistem Pembelajaran Daring (SPADA) Indonesia|2014-2015 Gasal|SBD-Daring|1096|Struktur Beton Dasar|setting
198|Sistem Pembelajaran Daring (SPADA) Indonesia|2014-2015 Gasal|MKB-Daring|1097|Metode Kuantitafif dan Bisnis|setting
199|Sistem Pembelajaran Daring (SPADA) Indonesia|2014-2015 Gasal|PPS-Daring|1103|Probabilitas dan Proses Stokastik|setting
200|Sistem Pembelajaran Daring (SPADA) Indonesia|2014-2015 Gasal|PMTI-Daring|1108|Pemetaan I (D3 / 4SKS)|setting
201|Sistem Pembelajaran Daring (SPADA) Indonesia|2014-2015 Gasal|SPO-Daring|1109|TF091332 - Sistem Pengendalian Otomatis (S1/4 SKS)|setting
202|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1412032014|1113|KS141203 - Matematika Diskrit|setting
203|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Desain dan Manajemen Proses Bisnis|1116|KS141301 - Desain dan Manajemen Proses Bisnis|setting
204|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Sipil|MB|1119|RC14-1322 - Mechanics of Materials|setting
205|UPMB|none|WTKI|1120|Wawasan Teknologi dan Komunikasi Ilmiah|setting
206|UPMB|none|Techno19|1135|Technopreneurship Kelas 19|setting
207|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1414052014|1141|KS141405 - Pemrograman Perangkat Bergerak|setting
208|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|OdRS|1151|Optimasi dalam Rekayasa Sipil|setting
209|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|TPC|1152|Teori Pelat dan Cangkang|setting
210|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|SBL|1154|Struktur Baja Lanjut|setting
211|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|KStr|1155|Keandalan Struktur|setting
212|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|MPdLI|1156|Metodologi Penelitian dan Laporan Ilmiah|setting
213|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|PDSB|1157|Perilaku Daktail Struktur Beton|setting
214|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|PDSBj|1158|Perilaku Daktail Struktur Baja|setting
215|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|MEH|1159|Metode Elemen Hingga|setting
216|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|DS|1160|Dinamika Struktur|setting
217|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|PDEB|1161|Perilaku Daktail Elemen Beton|setting
218|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|TEs|1162|Teori Elastisitas|setting
219|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|MRa|1163|Matematika Rekayasa|setting
